Loss : tensor(0.4916, grad_fn=<AddBackward0>)
Loss : tensor(0.4872, grad_fn=<AddBackward0>)
Loss : tensor(0.4609, grad_fn=<AddBackward0>)
Loss : tensor(0.6661, grad_fn=<AddBackward0>)
Loss : tensor(0.3888, grad_fn=<AddBackward0>)
Loss : tensor(0.4060, grad_fn=<AddBackward0>)
Loss : tensor(0.4243, grad_fn=<AddBackward0>)
Loss : tensor(0.3708, grad_fn=<AddBackward0>)
Loss : tensor(0.4535, grad_fn=<AddBackward0>)
Loss : tensor(0.5484, grad_fn=<AddBackward0>)
Loss : tensor(0.4715, grad_fn=<AddBackward0>)
Loss : tensor(0.4891, grad_fn=<AddBackward0>)
Loss : tensor(0.4186, grad_fn=<AddBackward0>)
Loss : tensor(0.4708, grad_fn=<AddBackward0>)
Loss : tensor(0.5346, grad_fn=<AddBackward0>)
Loss : tensor(0.4225, grad_fn=<AddBackward0>)
Loss : tensor(0.3416, grad_fn=<AddBackward0>)
Loss : tensor(0.3798, grad_fn=<AddBackward0>)
Loss : tensor(0.5362, grad_fn=<AddBackward0>)
Loss : tensor(0.5102, grad_fn=<AddBackward0>)
Loss : tensor(0.4915, grad_fn=<AddBackward0>)
Loss : tensor(0.3955, grad_fn=<AddBackward0>)
Loss : tensor(0.5988, grad_fn=<AddBackward0>)
Loss : tensor(0.4536, grad_fn=<AddBackward0>)
Loss : tensor(0.3730, grad_fn=<AddBackward0>)
Loss : tensor(0.4689, grad_fn=<AddBackward0>)
Loss : tensor(0.4212, grad_fn=<AddBackward0>)
Loss : tensor(0.5039, grad_fn=<AddBackward0>)
Loss : tensor(0.3715, grad_fn=<AddBackward0>)
Loss : tensor(0.4404, grad_fn=<AddBackward0>)
Loss : tensor(0.4805, grad_fn=<AddBackward0>)
Loss : tensor(0.4046, grad_fn=<AddBackward0>)
Loss : tensor(0.3395, grad_fn=<AddBackward0>)
Loss : tensor(0.5589, grad_fn=<AddBackward0>)
Loss : tensor(0.4237, grad_fn=<AddBackward0>)
Loss : tensor(0.5584, grad_fn=<AddBackward0>)
Loss : tensor(0.3807, grad_fn=<AddBackward0>)
Loss : tensor(0.4503, grad_fn=<AddBackward0>)
Loss : tensor(0.3699, grad_fn=<AddBackward0>)
Loss : tensor(0.3990, grad_fn=<AddBackward0>)
Loss : tensor(0.3578, grad_fn=<AddBackward0>)
Loss : tensor(0.4932, grad_fn=<AddBackward0>)
Loss : tensor(0.4391, grad_fn=<AddBackward0>)
Loss : tensor(0.4922, grad_fn=<AddBackward0>)
Loss : tensor(0.4149, grad_fn=<AddBackward0>)
Loss : tensor(0.4377, grad_fn=<AddBackward0>)
Loss : tensor(0.4417, grad_fn=<AddBackward0>)
Loss : tensor(0.4258, grad_fn=<AddBackward0>)
Loss : tensor(0.4885, grad_fn=<AddBackward0>)
Loss : tensor(0.3963, grad_fn=<AddBackward0>)
Loss : tensor(0.3998, grad_fn=<AddBackward0>)
Loss : tensor(0.3537, grad_fn=<AddBackward0>)
